City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Alize Plage
466,Arteaga,MX,74.32,scattered clouds,18.4667,-102.4167,
467,Tura,IN,70.95,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
470,Kanigoro,ID,73.83,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
475,Havelock,US,71.94,broken clouds,34.8791,-76.9013,Sherwood Motel
486,Chimoio,MZ,71.46,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
487,Bassila,BJ,72.48,overcast clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
491,Alanya,TR,73.53,clear sky,36.5438,31.9998,Panorama Hotel
496,Nador,MA,71.85,scattered clouds,35.174,-2.9287,Hôtel La Giralda
499,Marovoay,MG,70.52,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
501,Nihtaur,IN,70.39,scattered clouds,29.3333,78.3833,Rahul's House
503,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
511,Canico,PT,71.71,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
520,Roma,US,70.52,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
522,Mao,ES,70.36,few clouds,39.8885,4.2658,ARTIEM Capri
525,Jharsuguda,IN,73.58,scattered clouds,21.85,84.0333,Hotel Meghdoot - Best Hotel In Jharsuguda
527,Moindou,NC,71.33,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
530,Darnah,LY,72.3,clear sky,32.767,22.6367,فندق الفردوس
539,Broken Hill,AU,65.26,clear sky,-31.95,141.4333,Royal Exchange Hotel
542,Rioblanco,CO,71.55,broken clouds,3.5308,-75.6806,hotel en tolima colombia
545,Villacarrillo,ES,66.6,few clouds,38.1156,-3.0848,Hotel Sierra de Las Villas
547,Impfondo,CG,74.88,broken clouds,1.6381,18.0667,Auberge La Place de Jules
548,Loikaw,MM,65.07,few clouds,19.6742,97.2094,Myat Nan Taw Hotel
553,Constantine,DZ,65.61,scattered clouds,36.365,6.6147,Grand Hotel Cirta
566,Kloulklubed,PW,73.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
570,Broome,US,68.68,scattered clouds,42.2506,-75.833,Chenango Valley State Park
577,Traverse City,US,73.51,broken clouds,44.7631,-85.6206,Bayshore Resort
584,Evinayong,GQ,68.07,moderate rain,1.4368,10.5512,Hotel Don Patricio
589,Maxixe,MZ,70.95,clear sky,-23.8597,35.3472,Oceano
590,Misratah,LY,74.84,scattered clouds,32.3754,15.0925,Almasa Hotel
603,Porto Empedocle,IT,69.8,scattered clouds,37.2934,13.5264,Hotel dei Pini
605,Ambilobe,MG,68.25,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
611,Shelburne,CA,74.75,few clouds,44.0787,-80.2041,The Retreat at the Farm
612,Maldonado,UY,70.23,broken clouds,-34.6667,-54.9167,La Cimarrona
615,Linhares,BR,74.62,scattered clouds,-19.3911,-40.0722,Hotel Conceição
622,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
626,Temiscaming,CA,72.91,broken clouds,46.7212,-79.0971,Auberge Canadienne
628,Upington,ZA,66.58,broken clouds,-28.4478,21.2561,River Place Manor
634,Kiato,GR,66.0,clear sky,38.0167,22.75,Ξενοδοχείο Πάππας
648,Gasa,PS,69.87,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
651,Paso De Los Toros,UY,66.25,light rain,-32.8167,-56.5167,Complejo Isabelino
655,Chitrakonda,IN,71.92,light rain,18.1167,82.0833,Dantunaguda
673,Platanos,GR,67.08,clear sky,37.6667,21.6167,Hotel Kronio
691,Tazmalt,DZ,67.28,light rain,36.3868,4.3989,Hôtel Numédia
699,Cosio,MX,68.49,overcast clouds,22.35,-102.3,Historias de cosio
700,Jagdalpur,IN,70.54,overcast clouds,19.0667,82.0333,Hotel Devansh Residency
