City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Sokolo,ML,14.7328,-6.1219,90.5,38,3,5.44,clear sky
109,Plouzane,FR,48.3833,-4.6167,55.72,85,20,10.36,few clouds
110,Hermanus,ZA,-34.4187,19.2345,54.81,81,0,12.68,clear sky
111,Ambalavao,MG,-21.8333,46.9333,61.5,59,0,4.54,clear sky
112,Marawi,PH,7.9986,124.2928,68.47,91,100,0.47,overcast clouds
113,Fort-Shevchenko,KZ,44.5086,50.263,66.69,54,52,9.89,broken clouds
114,Torbay,CA,47.6666,-52.7314,62.76,54,20,11.5,few clouds
115,Lavrentiya,RU,65.5833,-171.0,38.43,90,100,23.24,overcast clouds
116,Gualaquiza,EC,-3.4,-78.55,83.71,45,76,3.56,broken clouds
117,Souillac,MU,-20.5167,57.5167,71.98,73,20,8.05,few clouds
118,Severo-Kurilsk,RU,50.6789,156.125,42.53,63,65,17.34,broken clouds
119,Vardo,NO,70.3705,31.1107,44.58,70,75,18.41,broken clouds
120,Te Anau,NZ,-45.4167,167.7167,32.7,84,87,0.65,overcast clouds
121,Tacuarembo,UY,-31.7333,-55.9833,70.65,57,56,10.89,broken clouds
122,Lasa,IT,46.6166,10.7002,56.28,84,25,2.55,scattered clouds
123,Tilichiki,RU,60.4667,166.1,32.85,80,9,18.03,clear sky
124,Saskylakh,RU,71.9167,114.0833,4.24,98,81,4.56,broken clouds
125,Ust-Kulom,RU,61.6864,53.6902,43.14,90,100,6.02,overcast clouds
126,Korsakov,RU,46.6328,142.7813,33.64,66,98,16.58,overcast clouds
127,Nishihara,JP,26.1842,127.7558,79.88,78,100,13.8,light rain
128,Osoyoos,CA,49.0331,-119.4524,72.36,40,73,1.14,broken clouds
129,Cape Town,ZA,-33.9258,18.4232,59.88,68,0,5.01,clear sky
130,East London,ZA,-33.0153,27.9116,65.91,82,100,9.78,overcast clouds
131,Kapit,MY,2.0167,112.9333,73.31,99,100,0.16,overcast clouds
132,Luderitz,NA,-26.6481,15.1594,56.48,77,19,18.19,few clouds
133,Goderich,CA,43.7501,-81.7165,66.52,55,29,2.3,scattered clouds
134,Mahebourg,MU,-20.4081,57.7,71.89,73,20,8.05,few clouds
135,Sabaudia,IT,41.3003,13.0282,68.47,92,9,6.33,clear sky
136,Berlevag,NO,70.8578,29.0864,42.75,75,0,20.71,clear sky
137,Bilma,NE,18.6853,12.9164,92.05,16,9,8.14,clear sky
138,Muroto,JP,33.2833,134.15,68.92,70,100,18.05,overcast clouds
139,Nantucket,US,41.2835,-70.0995,62.71,98,100,14.97,fog
140,Chuy,UY,-33.6971,-53.4616,63.72,67,90,13.53,overcast clouds
141,Milkovo,RU,54.7167,158.6167,34.66,70,14,12.21,few clouds
142,Chokurdakh,RU,70.6333,147.9167,16.18,97,96,5.61,overcast clouds
143,Timiryazevskoye,RU,56.49,84.8769,34.09,93,100,4.16,overcast clouds
144,Inirida,CO,3.8653,-67.9239,86.27,67,96,1.9,light rain
145,Cidreira,BR,-30.1811,-50.2056,64.4,76,54,16.75,broken clouds
146,Havoysund,NO,70.9963,24.6622,44.83,89,100,20.58,overcast clouds
147,Sunrise Manor,US,36.2111,-115.0731,92.88,15,0,7.0,clear sky
148,Tulln,AT,48.3283,16.0586,58.95,86,100,1.14,overcast clouds
149,Castro,BR,-24.7911,-50.0119,72.81,70,100,2.24,overcast clouds
150,Mayo,US,38.8876,-76.5119,64.81,90,100,6.91,mist
